Interprete;Sesso
Paolo Meneguzzi;M
Bungaro;M
Massimo Modugno e Gipsy Kings;G
Stefano Picchi;M
Morris Albert e Mietta;G
Neffa;M
Mario Venuti;M
DJ Francesco;M
Simone Tomassini;M
DB Boulevard e Bill Wyman;G
Andrea Mingardi e The Blues Brothers Band;G
Omar Pedrini;M
Daniele Groff;M
Adriano Pappalardo;M
Veruska;F
Andrè;M
Danny Losito e Las Ketchup;G
Pacifico;M
Piotta;M
Toto Cutugno con Annalisa Minetti;G
Nicky Nicolai e Stefano Di Battista Jazz Quartet;G
Laura Bono;F
La Differenza;F
Veronica Ventavoli;F
Le Vibrazioni;G
Anna Tatangelo;F
DJ Francesco Band;G
Nicola Arigliano;M
Giovanna D'Angi;F
Max De Angelis;M
Equ;G
Velvet;F
Christian Lo Zito;M
Sabrina Guida;F
Modà;G
Concido;G
Enrico Boccadoro;M
Negramaro;G
Povia;M
Nomadi;G
Riccardo Maffoni;M
Simone Cristicchi;M
Dolcenera;F
Zero Assoluto;G
Simona Bencini;F
Nicky Nicolai;F
I Ragazzi di Scampia con Gigi Finizio;G
Sugarfree;G
Monia Russo;F
L'Aura;F
Helena Hellwig;F
Tiziano Orecchio;M
Noa, Carlo Fava & Solis String Quartet;G
Luca Dirisio;M
Andrea Ori;M
Ameba 4;G
Ivan Segreto;M
Mario Venuti e Arancia Sonora;G
Antonello;M
Deasonika;G
Virginio;M
Piero Mazzocchetti;M
Francesco con Roby Facchinetti;G
Amalia Gré;F
Paolo Rossi;M
Johnny Dorelli;M
Leda Battisti;F
Giò Di Tonno e Lola Ponce;G
Fabrizio Moro;M
Finley;G
Eugenio Bennato;M
Frankie hi-nrg mc;M
Tricarico;M
Tiromancino;G
Marco Carta;M
Sal Da Vinci;M
Alexia feat. Mario Lavezzi;G
Pupo, Paolo Belli e Youssou N'Dour;G
Gemelli DiVersi;G
